Time(s),X(m),Y(m),Z(m),Distance(m)
0,0.501835,-0.810918,3.30431,3.43917
0.0333333,0.501835,-0.810918,3.30431,3.43917
0.0666667,0.500255,-0.810739,3.30115,3.43586
0.1,0.500255,-0.810739,3.30115,3.43586
0.133333,0.501126,-0.81085,3.30293,3.43773
0.166667,0.501126,-0.81085,3.30293,3.43773
0.2,0.501126,-0.81085,3.30293,3.43773
0.233333,0.501126,-0.81085,3.30293,3.43773
0.266667,0.496633,-0.804982,3.2745,3.40837
0.3,0.496633,-0.804982,3.2745,3.40837
0.333333,0.496633,-0.804982,3.2745,3.40837
0.366667,0.496633,-0.804982,3.2745,3.40837
0.666667,0.682129,-1.0656,4.42462,4.60196
0.933333,0.648072,-1.00539,4.20371,4.37058
0.966667,0.62328,-0.973664,4.0429,4.20494
1,0.610068,-0.956597,3.9572,4.11663
1.03333,0.610068,-0.956597,3.9572,4.11663
1.06667,0.599044,-0.942281,3.88569,4.04294
1.1,0.62328,-0.973664,4.0429,4.20494
1.13333,0.62328,-0.973664,4.0429,4.20494
1.16667,0.615554,-0.960396,3.98409,4.14419
1.2,0.62328,-0.973664,4.0429,4.20494
1.23333,0.62328,-0.973664,4.0429,4.20494
1.26667,0.62328,-0.973664,4.0429,4.20494
1.3,0.62328,-0.973664,4.0429,4.20494
1.33333,0.615139,-0.970057,4.01403,4.17515
1.36667,0.62328,-0.973664,4.0429,4.20494
1.4,0.642684,-1.00544,4.16043,4.32818
1.43333,0.62328,-0.987141,4.0429,4.20808
1.46667,0.62842,-0.986552,4.05432,4.21968
1.5,0.593635,-0.925338,3.82405,3.97894
1.53333,0.584978,-0.912599,3.7754,3.92794
1.56667,0.57644,-0.923785,3.78923,3.94258
1.63333,0.583235,-0.92182,3.79067,3.9445
1.66667,0.589639,-0.908108,3.78378,3.93565
1.7,0.592357,-0.890086,3.72161,3.87215
1.73333,0.566058,-0.893835,3.69168,3.8403
1.76667,0.590155,-0.893039,3.74702,3.89691
1.8,0.590036,-0.910257,3.78989,3.94208
1.83333,0.579951,-0.896288,3.72161,3.8717
1.86667,0.573336,-0.875253,3.65959,3.80623
1.9,0.58234,-0.898424,3.71864,3.8697
1.93333,0.57784,-0.868273,3.63041,3.77726
1.96667,0.57784,-0.868273,3.63041,3.77726
2,0.572841,-0.872549,3.62263,3.77001
2.03333,0.569501,-0.864688,3.57802,3.72481
2.06667,0.561112,-0.849013,3.52531,3.66926
2.1,0.569501,-0.864688,3.57802,3.72481
2.13333,0.564569,-0.862859,3.57081,3.71671
2.16667,0.56872,-0.868491,3.59303,3.73999
2.2,0.560924,-0.867758,3.57643,3.7227
2.23333,0.560924,-0.867758,3.57643,3.7227
2.26667,0.555887,-0.859145,3.53758,3.68261
2.3,0.531029,-0.818903,3.35387,3.493
2.33333,0.544254,-0.855164,3.47171,3.61667
2.36667,0.531029,-0.818903,3.35387,3.493
2.4,0.535921,-0.84094,3.42077,3.56316
2.43333,0.523733,-0.820444,3.34708,3.48574
2.46667,0.525774,-0.826992,3.37395,3.51339
2.5,0.532892,-0.840658,3.41963,3.56153
2.53333,0.533817,-0.841956,3.42001,3.56235
2.56667,0.52588,-0.829596,3.37463,3.51467
2.6,0.522804,-0.820412,3.34551,3.48408
2.63333,0.522804,-0.820412,3.34551,3.48408
2.66667,0.52588,-0.829596,3.37463,3.51467
2.7,0.526378,-0.820302,3.35082,3.48969
2.73333,0.526869,-0.838458,3.39916,3.54046
2.76667,0.52451,-0.827436,3.36584,3.50552
2.8,0.538698,-0.857629,3.46787,3.61273
2.83333,0.525361,-0.828256,3.36918,3.50904
2.86667,0.529734,-0.830198,3.36339,3.50461
2.9,0.526623,-0.824525,3.34364,3.48383
2.93333,0.526623,-0.824525,3.34364,3.48383
2.96667,0.532293,-0.841142,3.41488,3.55701
3,0.524779,-0.830221,3.37441,3.51444
3.03333,0.532316,-0.842417,3.41869,3.56097
3.06667,0.525794,-0.836879,3.41056,3.55088
3.1,0.532972,-0.83729,3.41454,3.55586
3.13333,0.533605,-0.820531,3.37972,3.5186
3.16667,0.54999,-0.82356,3.41963,3.56014
3.2,0.554536,-0.814696,3.41253,3.55199
3.23333,0.560566,-0.806771,3.40263,3.54161
3.26667,0.570875,-0.79585,3.37463,3.51389
3.3,0.590675,-0.786973,3.34708,3.48872
3.33333,0.61587,-0.79585,3.37463,3.52148
3.36667,0.648861,-0.814029,3.41728,3.57232
3.4,0.670872,-0.802977,3.37115,3.5298
3.43333,0.694611,-0.807099,3.37463,3.53865
3.46667,0.741587,-0.83335,3.47192,3.64673
3.5,0.760931,-0.817545,3.39683,3.57573
3.53333,0.783577,-0.817545,3.39683,3.58062
3.56667,0.808065,-0.81087,3.36694,3.55622
3.6,0.830511,-0.81087,3.36694,3.56139
3.63333,0.857184,-0.798101,3.34525,3.54436
3.66667,0.855945,-0.784844,3.28158,3.481
3.7,0.901557,-0.796861,3.36256,3.57136
3.73333,0.88876,-0.773905,3.28158,3.48677
3.76667,0.906568,-0.75387,3.27922,3.48475
3.8,0.903283,-0.743565,3.27525,3.47795
3.83333,0.899699,-0.741089,3.28158,3.48244
3.86667,0.84966,-0.756668,3.27405,3.4661
3.9,0.811819,-0.7735,3.2845,3.47063
3.93333,0.754308,-0.768701,3.26458,3.43764
3.96667,0.740922,-0.77503,3.32726,3.49575
4,0.706703,-0.775333,3.35241,3.51272
4.03333,0.660141,-0.765101,3.31452,3.46514
4.06667,0.621472,-0.765101,3.31452,3.45798
4.1,0.588084,-0.756524,3.27421,3.41154
4.16667,0.521156,-0.708758,3.04219,3.16684
4.2,0.500093,-0.739174,3.17886,3.30176
4.23333,0.530588,-0.773574,3.30931,3.43969
4.26667,0.492482,-0.777443,3.31377,3.43919
4.3,0.496858,-0.767408,3.27719,3.40231
4.33333,0.469967,-0.773957,3.35384,3.47392
4.36667,0.464247,-0.755124,3.31349,3.43001
4.4,0.422601,-0.754052,3.31452,3.42538
4.43333,0.408041,-0.755398,3.31262,3.42207
4.46667,0.374672,-0.764043,3.32705,3.43415
4.5,0.361208,-0.775579,3.36676,3.47377
4.53333,0.349754,-0.775846,3.36704,3.47293
4.56667,0.315753,-0.76083,3.298,3.39932
4.6,0.319481,-0.758508,3.30498,3.40592
4.63333,0.29399,-0.762709,3.32818,3.42709
4.66667,0.298077,-0.752028,3.28158,3.37981
4.7,0.272503,-0.767478,3.35908,3.4564
4.73333,0.294268,-0.769785,3.39059,3.48931
4.76667,0.281745,-0.760902,3.35908,3.45568
4.8,0.287884,-0.76289,3.37349,3.47064
4.83333,0.279489,-0.763005,3.35387,3.4509
