Time(s),X(m),Y(m),Z(m),Distance(m)
0.000,0.611,0.103,2.356,2.436
0.033,0.596,0.049,2.405,2.478
0.067,0.584,-0.005,2.471,2.539
0.100,0.566,-0.046,2.641,2.701
0.133,0.557,-0.046,2.745,2.802
0.167,0.553,-0.019,2.805,2.859
0.200,0.554,-0.001,2.821,2.875
0.233,0.559,0.036,2.814,2.869
0.267,0.559,0.033,2.807,2.862
0.300,0.561,0.033,2.791,2.847
0.333,0.562,0.025,2.770,2.826
0.367,0.567,0.210,2.772,2.837
0.400,0.565,0.289,2.810,2.881
0.433,0.569,0.366,2.840,2.920
0.467,0.573,0.426,2.901,2.988
0.500,0.577,0.489,2.984,3.078
0.533,0.576,0.511,3.093,3.188
0.567,0.575,0.516,3.183,3.275
0.600,0.575,0.509,3.262,3.351
0.633,0.572,0.466,3.314,3.395
0.667,0.569,0.411,3.344,3.417
0.700,0.567,0.375,3.351,3.420
0.733,0.570,0.340,3.324,3.390
0.767,0.576,0.314,3.275,3.340
0.800,0.584,0.285,3.206,3.271
0.833,0.588,0.243,3.137,3.201
0.867,0.590,0.193,3.096,3.157
0.900,0.593,0.128,3.102,3.161
0.933,0.610,0.068,3.109,3.169
0.967,0.612,-0.023,3.133,3.192
1.000,0.614,-0.110,3.170,3.231
1.033,0.612,-0.200,3.227,3.290
1.067,0.610,-0.285,3.311,3.379
1.100,0.610,-0.347,3.371,3.443
1.133,0.616,-0.381,3.404,3.481
1.167,0.605,-0.408,3.378,3.456
1.200,0.588,-0.417,3.331,3.408
1.233,0.561,-0.403,3.274,3.346
1.267,0.528,-0.379,3.214,3.279
1.300,0.494,-0.335,3.126,3.182
1.333,0.444,-0.285,3.017,3.063
1.367,0.403,-0.250,2.938,2.976
1.400,0.396,-0.231,2.927,2.962
1.433,0.409,-0.217,2.935,2.972
1.467,0.425,-0.200,2.925,2.962
1.500,0.445,-0.184,2.895,2.935
1.533,0.472,-0.171,2.838,2.882
1.567,0.490,-0.163,2.800,2.848
1.600,0.511,-0.129,2.759,2.809
1.633,0.536,-0.088,2.663,2.718
1.667,0.559,-0.046,2.558,2.619
1.700,0.585,-0.002,2.438,2.507
1.733,0.607,0.030,2.352,2.430
1.767,0.619,0.033,2.367,2.446
1.800,0.629,0.041,2.373,2.455
1.833,0.638,0.051,2.360,2.445
1.867,0.641,0.049,2.367,2.453
1.900,0.640,0.039,2.390,2.475
1.933,0.636,0.017,2.437,2.519
1.967,0.631,-0.005,2.485,2.564
2.000,0.625,-0.022,2.523,2.599
2.033,0.616,-0.043,2.569,2.642
2.067,0.605,-0.063,2.620,2.690
2.100,0.595,-0.080,2.665,2.732
2.133,0.584,-0.095,2.707,2.771
2.167,0.574,-0.109,2.745,2.807
2.200,0.563,-0.121,2.781,2.840
2.233,0.551,-0.130,2.805,2.861
2.267,0.540,-0.129,2.809,2.863
2.300,0.529,-0.128,2.812,2.864
2.333,0.521,-0.125,2.805,2.856
2.367,0.515,-0.120,2.800,2.850
2.400,0.507,-0.119,2.784,2.832
2.433,0.501,-0.112,2.769,2.816
2.467,0.496,-0.106,2.758,2.804
2.500,0.495,-0.099,2.746,2.792
2.533,0.494,-0.090,2.731,2.776
2.567,0.492,-0.082,2.716,2.761
2.600,0.494,-0.076,2.711,2.757
2.633,0.502,-0.074,2.721,2.768
2.667,0.511,-0.077,2.744,2.792
2.700,0.520,-0.080,2.764,2.813
2.733,0.529,-0.081,2.773,2.824
2.767,0.540,-0.077,2.782,2.835
2.800,0.549,-0.069,2.774,2.829
2.833,0.553,-0.071,2.776,2.832
2.867,0.556,-0.071,2.773,2.829
2.900,0.558,-0.072,2.771,2.827
2.933,0.558,-0.079,2.776,2.833
2.967,0.563,-0.083,2.788,2.846
3.000,0.564,-0.090,2.797,2.855
3.033,0.563,-0.098,2.822,2.879
3.067,0.559,-0.104,2.843,2.899
3.100,0.562,-0.113,2.931,2.986
3.133,0.573,-0.117,2.948,3.006
3.167,0.577,-0.100,2.928,2.986
