frame,X,Y,Z
0,0,0,0
1,-0.0222619,-0.00440476,0.0952381
2,-0.0896747,-0.0177431,0.383635
3,-0.194358,-0.0384559,0.831479
4,-0.272779,-0.0539723,1.16697
5,-0.303685,-0.0600873,1.29919
6,-0.304589,-0.0602663,1.30305
7,-0.292685,-0.0579108,1.25213
8,-0.277838,-0.0549732,1.18861
9,-0.26478,-0.0523896,1.13275
10,-0.255165,-0.0504872,1.09161
11,-0.248989,-0.0492651,1.06519
12,-0.265354,-0.0791616,1.03603
13,-0.274495,-0.0928759,1.02707
14,-0.276545,-0.0969972,1.02024
15,-0.276333,-0.0959013,1.02395
16,-0.27504,-0.0922705,1.02784
17,-0.273789,-0.0894541,1.03582
18,-0.272642,-0.0862522,1.04033
19,-0.270753,-0.0832779,1.04246
20,-0.269692,-0.0807431,1.04314
21,-0.269429,-0.0790173,1.04794
22,-0.26836,-0.0774406,1.04989
23,-0.267929,-0.0759817,1.05025
24,-0.265802,-0.073577,1.04986
25,-0.264911,-0.0727815,1.04924
26,-0.264725,-0.0728282,1.04864
27,-0.266121,-0.0735708,1.05309
28,-0.266978,-0.0741961,1.05514
29,-0.267431,-0.0736113,1.05574
30,-0.267621,-0.0733977,1.05562
31,-0.266629,-0.0723523,1.05521
32,-0.265071,-0.0709003,1.05477
33,-0.262095,-0.0689786,1.04949
34,-0.262029,-0.0685811,1.05179
35,-0.260043,-0.0673163,1.04828
36,-0.259509,-0.06623,1.05158
37,-0.258341,-0.0646286,1.04853
38,-0.259258,-0.0654665,1.05197
39,-0.25997,-0.0661731,1.05382
40,-0.260448,-0.0666791,1.05461
41,-0.259514,-0.0656573,1.04988
42,-0.259073,-0.065189,1.04742
43,-0.260147,-0.0653576,1.05134
44,-0.260742,-0.0655336,1.05352
45,-0.261013,-0.0656766,1.05451
46,-0.262323,-0.0650488,1.05978
47,-0.261854,-0.0647615,1.0621
48,-0.259242,-0.0633401,1.05772
49,-0.257926,-0.0627185,1.05509
50,-0.25846,-0.0625621,1.05373
51,-0.257871,-0.062634,1.05319
52,-0.25891,-0.0620475,1.05808
53,-0.259522,-0.0618498,1.06059
54,-0.259829,-0.0618566,1.06158
55,-0.257694,-0.061656,1.05674
56,-0.256627,-0.0616249,1.05412
57,-0.257442,-0.0609254,1.05794
58,-0.256778,-0.0603522,1.05505
59,-0.255487,-0.060161,1.05359
60,-0.253928,-0.0581059,1.05304
61,-0.255575,-0.0574834,1.05796
62,-0.256584,-0.0573912,1.0605
63,-0.257118,-0.0575417,1.06152
64,-0.256135,-0.0574901,1.05671
65,-0.254572,-0.0575656,1.05411
66,-0.253846,-0.0576794,1.05296
67,-0.252592,-0.0567536,1.05267
68,-0.252132,-0.0563411,1.0528
69,-0.252103,-0.0551977,1.05308
70,-0.252262,-0.0547423,1.05336
71,-0.252622,-0.0538936,1.05857
72,-0.250659,-0.0523395,1.05613
73,-0.249757,-0.0517568,1.05464
74,-0.249488,-0.0517036,1.05386
75,-0.249541,-0.0518847,1.05354
76,-0.249719,-0.0521275,1.05347
77,-0.249914,-0.0523464,1.05353
78,-0.251256,-0.0517206,1.05861
79,-0.249722,-0.0512071,1.05611
80,-0.248923,-0.0510254,1.0546
81,-0.246411,-0.0497554,1.0489
82,-0.245306,-0.0492209,1.04623
83,-0.245021,-0.0491066,1.04539
84,-0.244115,-0.0481669,1.0455
85,-0.242755,-0.0486244,1.04112
86,-0.244482,-0.0492213,1.04419
87,-0.244535,-0.0495842,1.04619
88,-0.245655,-0.0497737,1.04733
89,-0.246237,-0.0498513,1.04787
90,-0.246473,-0.0498656,1.04804
91,-0.246515,-0.0498504,1.04803
92,-0.246466,-0.0498258,1.04794
93,-0.245362,-0.0498023,1.04784
94,-0.245824,-0.0497841,1.04775
95,-0.242913,-0.0495411,1.04283
96,-0.239394,-0.0481815,1.03566
97,-0.239023,-0.0487885,1.03736
98,-0.240257,-0.049184,1.03891
99,-0.241163,-0.0494091,1.04008
100,-0.241743,-0.049516,1.04085
101,-0.243197,-0.0487558,1.04615
102,-0.243887,-0.0483728,1.04869
103,-0.24514,-0.0482276,1.04954
104,-0.246764,-0.049472,1.05442
105,-0.247363,-0.0501177,1.05637
106,-0.24844,-0.0503783,1.05668
107,-0.249904,-0.0496207,1.06122
108,-0.250368,-0.049181,1.06293
109,-0.252543,-0.0502433,1.06813
110,-0.253349,-0.0507784,1.07003
111,-0.253412,-0.0509812,1.07014
112,-0.254352,-0.0512442,1.07457
113,-0.253378,-0.051058,1.07105
114,-0.251494,-0.0506599,1.06363
115,-0.249453,-0.0504306,1.05981
116,-0.248531,-0.0503197,1.05828
117,-0.24607,-0.0500452,1.05307
118,-0.242913,-0.0486729,1.04612
119,-0.238458,-0.047602,1.03384
120,-0.233661,-0.0459804,1.02422
121,-0.232002,-0.0463732,1.02119
122,-0.232008,-0.0467914,1.02156
123,-0.231643,-0.0459153,1.01861
124,-0.234068,-0.0467917,1.02301
125,-0.236645,-0.048336,1.02614
126,-0.236928,-0.0478761,1.02341
127,-0.235984,-0.0475691,1.02223
128,-0.235455,-0.0473895,1.02194
129,-0.234208,-0.0473006,1.02209
130,-0.233654,-0.0472683,1.02239
131,-0.230406,-0.0468402,1.01348
132,-0.230019,-0.0468594,1.01389
133,-0.229106,-0.0466952,1.0102
134,-0.229919,-0.0466437,1.0089
135,-0.23161,-0.0478585,1.01347
136,-0.23255,-0.0484666,1.01619
137,-0.232981,-0.0486938,1.01758
138,-0.232061,-0.0475053,1.01353
139,-0.230542,-0.0468553,1.01141
140,-0.229813,-0.046566,1.01053
141,-0.228538,-0.0462787,1.00583
142,-0.229084,-0.0464154,1.00835
143,-0.228535,-0.0455576,1.01006
144,-0.229359,-0.0451874,1.01108
145,-0.229862,-0.045099,1.01159
146,-0.231168,-0.0463501,1.01637
147,-0.231776,-0.0470221,1.01858
148,-0.232961,-0.0473118,1.01926
149,-0.233411,-0.0473806,1.01916
150,-0.23552,-0.0475565,1.02337
151,-0.236375,-0.0475833,1.02513
152,-0.236525,-0.0475416,1.02548
153,-0.237425,-0.0487046,1.02986
154,-0.238752,-0.0484444,1.03633
155,-0.239181,-0.0482192,1.03884
156,-0.239144,-0.047041,1.03917
157,-0.239932,-0.047465,1.03852
158,-0.240157,-0.0477296,1.03758
159,-0.240099,-0.0468586,1.03671
160,-0.238919,-0.0464356,1.03606
161,-0.240381,-0.0475245,1.04042
162,-0.238966,-0.0468796,1.03767
163,-0.240318,-0.0477836,1.04082
164,-0.241091,-0.0474421,1.04713
165,-0.242414,-0.0472366,1.04989
166,-0.242941,-0.0471306,1.05059
167,-0.245193,-0.0473096,1.05519
168,-0.248174,-0.048441,1.05686
169,-0.254979,-0.0496789,1.07206
170,-0.261169,-0.0525455,1.08386
171,-0.268027,-0.0564275,1.09851
172,-0.273771,-0.0582569,1.10894
173,-0.277729,-0.0610882,1.11693
174,-0.278341,-0.0619557,1.11824
175,-0.275003,-0.060448,1.11105
176,-0.271388,-0.0592578,1.10574
177,-0.266817,-0.0570943,1.09697
178,-0.264534,-0.0559619,1.09249
179,-0.26134,-0.0541621,1.08545
180,-0.259084,-0.0523714,1.08268
181,-0.257219,-0.0525404,1.07706
182,-0.256827,-0.052909,1.07524
183,-0.255899,-0.0530281,1.07024
184,-0.254798,-0.0532078,1.06873
185,-0.253409,-0.0531214,1.06391
186,-0.252036,-0.0531285,1.06245
187,-0.250528,-0.0518834,1.05766
188,-0.249116,-0.0502794,1.05617
189,-0.246593,-0.0493832,1.0514
190,-0.243568,-0.0478846,1.04499
191,-0.24371,-0.0475964,1.04774
192,-0.241008,-0.0462382,1.04039
193,-0.241227,-0.0460123,1.04236
194,-0.243977,-0.0474026,1.04918
195,-0.244474,-0.047011,1.04812
196,-0.245917,-0.0481262,1.05248
197,-0.246614,-0.0487233,1.05461
198,-0.245704,-0.0477258,1.05045
199,-0.244125,-0.0471852,1.04811
